Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.,,,,,
1979,1,-0.061,-0.031,-0.025,-0.037,,,,Year,Mean Sea Level (m)
1979,2,-0.117,-0.031,-0.025,-0.036,,,,1979,-0.071857143
1979,3,-0.073,-0.03,-0.024,-0.036,,,,1980,-0.051083333
1979,4,-0.134,-0.03,-0.024,-0.036,,,,1981,-0.047545455
1979,5,-0.101,-0.03,-0.024,-0.036,,,,1982,-0.030083333
1979,6,0.001,-0.029,-0.024,-0.035,,,,1983,0.0015
1979,12,-0.018,-0.028,-0.022,-0.034,,,,1984,0.022636364
1980,1,0,-0.028,-0.022,-0.034,,,,1985,0.006
1980,2,0.042,-0.027,-0.021,-0.033,,,,1986,0.037666667
1980,3,-0.085,-0.027,-0.021,-0.033,,,,1987,-0.055583333
1980,4,-0.03,-0.027,-0.021,-0.033,,,,1988,-0.04625
1980,5,-0.013,-0.027,-0.021,-0.033,,,,1989,-0.029833333
1980,6,-0.018,-0.026,-0.02,-0.032,,,,1990,-0.022583333
1980,7,-0.081,-0.026,-0.02,-0.032,,,,1991,0.060416667
1980,8,-0.103,-0.026,-0.02,-0.032,,,,1992,0.0396
1980,9,-0.084,-0.026,-0.02,-0.031,,,,1993,0.091
1980,10,-0.147,-0.025,-0.019,-0.031,,,,1994,-0.003333333
1980,11,-0.066,-0.025,-0.019,-0.031,,,,1995,0.035416667
1980,12,-0.028,-0.025,-0.019,-0.031,,,,1996,-0.027666667
1981,1,-0.015,-0.024,-0.019,-0.03,,,,1997,-0.005083333
1981,2,-0.056,-0.024,-0.018,-0.03,,,,1998,-0.017916667
1981,3,-0.006,-0.024,-0.018,-0.03,,,,1999,0.055833333
1981,4,-0.082,-0.024,-0.018,-0.03,,,,2000,0.03925
1981,5,-0.016,-0.023,-0.017,-0.029,,,,2001,0.00075
1981,6,-0.103,-0.023,-0.017,-0.029,,,,2002,0.01925
1981,8,-0.046,-0.023,-0.017,-0.029,,,,2003,-0.004166667
1981,9,-0.07,-0.022,-0.016,-0.028,,,,2004,-0.000416667
1981,10,-0.13,-0.022,-0.016,-0.028,,,,2005,0.039583333
1981,11,0.027,-0.022,-0.016,-0.028,,,,2006,0.015583333
1981,12,-0.026,-0.022,-0.016,-0.028,,,,2007,0.059
1982,1,-0.114,-0.021,-0.015,-0.027,,,,2008,0.046666667
1982,2,-0.06,-0.021,-0.015,-0.027,,,,2009,0.043666667
1982,3,-0.001,-0.021,-0.015,-0.027,,,,2010,0.036583333
1982,4,-0.056,-0.021,-0.015,-0.027,,,,2011,0.027333333
1982,5,-0.053,-0.02,-0.014,-0.026,,,,2012,0.086666667
1982,6,-0.013,-0.02,-0.014,-0.026,,,,2013,0.089083333
1982,7,-0.067,-0.02,-0.014,-0.026,,,,2014,0.114416667
1982,8,-0.082,-0.019,-0.013,-0.025,,,,2015,0.112
1982,9,-0.012,-0.019,-0.013,-0.025,,,,2016,0.110818182
1982,10,0.05,-0.019,-0.013,-0.025,,,,2017,0.108
1982,11,0.054,-0.019,-0.013,-0.025,,,,2018,0.08175
1982,12,-0.007,-0.018,-0.012,-0.024,,,,2019,0.181083333
1983,1,0.1,-0.018,-0.012,-0.024,,,,,
1983,2,0.025,-0.018,-0.012,-0.024,,,,,
1983,3,0.066,-0.018,-0.012,-0.024,,,,,
1983,4,-0.041,-0.017,-0.011,-0.023,,,,,
1983,5,-0.084,-0.017,-0.011,-0.023,,,,,
1983,6,0.009,-0.017,-0.011,-0.023,,,,,
1983,7,0.031,-0.017,-0.011,-0.023,,,,,
1983,8,-0.067,-0.016,-0.01,-0.022,,,,,
1983,9,-0.024,-0.016,-0.01,-0.022,,,,,
1983,10,-0.005,-0.016,-0.01,-0.022,,,,,
1983,11,0.024,-0.016,-0.009,-0.022,,,,,
1983,12,-0.016,-0.015,-0.009,-0.021,,,,,
1984,1,0.103,-0.015,-0.009,-0.021,,,,,
1984,2,0.025,-0.015,-0.009,-0.021,,,,,
1984,3,0.042,-0.014,-0.008,-0.021,,,,,
1984,4,0.005,-0.014,-0.008,-0.02,,,,,
1984,5,-0.078,-0.014,-0.008,-0.02,,,,,
1984,6,-0.007,-0.014,-0.008,-0.02,,,,,
1984,7,-0.067,-0.013,-0.007,-0.019,,,,,
1984,8,0,-0.013,-0.007,-0.019,,,,,
1984,9,0.052,-0.013,-0.007,-0.019,,,,,
1984,10,0.053,-0.013,-0.007,-0.019,,,,,
1984,11,0.121,-0.012,-0.006,-0.018,,,,,
1984,12,0.063,-0.012,-0.006,-0.018,,,,,
1985,1,0.075,-0.012,-0.006,-0.018,,,,,
1985,2,-0.048,-0.012,-0.005,-0.018,,,,,
1985,3,-0.035,-0.011,-0.005,-0.017,,,,,
1985,4,-0.074,-0.011,-0.005,-0.017,,,,,
1985,5,0.012,-0.011,-0.005,-0.017,,,,,
1985,6,-0.028,-0.011,-0.004,-0.017,,,,,
1985,7,-0.03,-0.01,-0.004,-0.016,,,,,
1985,8,0.091,-0.01,-0.004,-0.016,,,,,
1985,9,0.07,-0.01,-0.004,-0.016,,,,,
1985,10,0.05,-0.009,-0.003,-0.016,,,,,
1985,11,-0.043,-0.009,-0.003,-0.015,,,,,
1985,12,0.032,-0.009,-0.003,-0.015,,,,,
1986,1,0.1,-0.009,-0.002,-0.015,,,,,
1986,2,0.095,-0.008,-0.002,-0.015,,,,,
1986,3,0.017,-0.008,-0.002,-0.014,,,,,
1986,4,0.103,-0.008,-0.002,-0.014,,,,,
1986,5,0.198,-0.008,-0.001,-0.014,,,,,
1986,6,0.088,-0.007,-0.001,-0.014,,,,,
1986,7,0.006,-0.007,-0.001,-0.013,,,,,
1986,8,0,-0.007,-0.001,-0.013,,,,,
1986,9,0.031,-0.007,0,-0.013,,,,,
1986,10,-0.05,-0.006,0,-0.013,,,,,
1986,11,-0.129,-0.006,0,-0.012,,,,,
1986,12,-0.007,-0.006,0,-0.012,,,,,
1987,1,-0.038,-0.006,0.001,-0.012,,,,,
1987,2,0.04,-0.005,0.001,-0.011,,,,,
1987,3,0.023,-0.005,0.001,-0.011,,,,,
1987,4,-0.074,-0.005,0.002,-0.011,,,,,
1987,5,-0.111,-0.004,0.002,-0.011,,,,,
1987,6,-0.101,-0.004,0.002,-0.01,,,,,
1987,7,-0.027,-0.004,0.002,-0.01,,,,,
1987,8,-0.165,-0.004,0.003,-0.01,,,,,
1987,9,-0.189,-0.003,0.003,-0.01,,,,,
1987,10,-0.017,-0.003,0.003,-0.009,,,,,
1987,11,-0.001,-0.003,0.003,-0.009,,,,,
1987,12,-0.007,-0.003,0.004,-0.009,,,,,
1988,1,0.014,-0.002,0.004,-0.009,,,,,
1988,2,0.043,-0.002,0.004,-0.008,,,,,
1988,3,-0.09,-0.002,0.005,-0.008,,,,,
1988,4,-0.038,-0.002,0.005,-0.008,,,,,
1988,5,-0.102,-0.001,0.005,-0.008,,,,,
1988,6,-0.034,-0.001,0.005,-0.007,,,,,
1988,7,-0.052,-0.001,0.006,-0.007,,,,,
1988,8,-0.101,0,0.006,-0.007,,,,,
1988,9,-0.079,0,0.006,-0.007,,,,,
1988,10,0.02,0,0.006,-0.006,,,,,
1988,11,-0.098,0,0.007,-0.006,,,,,
1988,12,-0.038,0.001,0.007,-0.006,,,,,
1989,1,0.003,0.001,0.007,-0.006,,,,,
1989,2,0.006,0.001,0.007,-0.005,,,,,
1989,3,0.081,0.001,0.008,-0.005,,,,,
1989,4,-0.027,0.002,0.008,-0.005,,,,,
1989,5,-0.052,0.002,0.008,-0.005,,,,,
1989,6,-0.081,0.002,0.009,-0.004,,,,,
1989,7,-0.006,0.002,0.009,-0.004,,,,,
1989,8,0.003,0.003,0.009,-0.004,,,,,
1989,9,-0.007,0.003,0.009,-0.004,,,,,
1989,10,-0.114,0.003,0.01,-0.003,,,,,
1989,11,-0.088,0.003,0.01,-0.003,,,,,
1989,12,-0.076,0.004,0.01,-0.003,,,,,
1990,1,-0.115,0.004,0.01,-0.002,,,,,
1990,2,-0.117,0.004,0.011,-0.002,,,,,
1990,3,0.031,0.005,0.011,-0.002,,,,,
1990,4,0.066,0.005,0.011,-0.002,,,,,
1990,5,0.024,0.005,0.012,-0.001,,,,,
1990,6,-0.022,0.005,0.012,-0.001,,,,,
